property_id,formatted_address,zip_code,style,beds,full_baths,half_baths,sqft,list_price,sold_price,age
9881375505,"1050 W Columbia Ave Apt 3H, Chicago, IL, 60626",60626,CONDOS,2,1,1,1250,289000,294000,61
8364444464,"10211 S Artesian Ave, Chicago, IL, 60655",60655,SINGLE_FAMILY,2,1,1,1697,300000,306000,72
8820084993,"9324 S Damen Ave, Chicago, IL, 60643",60643,SINGLE_FAMILY,5,3,1,3900,835000,810000,131
8712385196,"9146 S Hamilton Ave, Chicago, IL, 60643",60643,SINGLE_FAMILY,3,1,1,1678,429900,425000,95
7184015805,"1719 N Halsted St Apt C, Chicago, IL, 60614",60614,CONDOS,3,2,1,1800,899900,880000,36
7012759571,"4128 N Central Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,4,2,1,2867,410000,425000,75
8534690266,"3526 N Hamilton Ave, Chicago, IL, 60618",60618,SINGLE_FAMILY,7,5,1,5200,2300000,2250000,10
8280260700,"11341 S Spaulding Ave, Chicago, IL, 60655",60655,SINGLE_FAMILY,4,1,1,1642,324900,324900,78
8648590333,"1550 N Clark St Apt 301, Chicago, IL, 60610",60610,CONDOS,3,3,1,3352,2600000,2550000,5
8683884086,"10044 S Leavitt St, Chicago, IL, 60643",60643,SINGLE_FAMILY,4,4,1,5350,1350000,1325000,122
8560828216,"4152 N Lincoln Ave Unit 8W, Chicago, IL, 60618",60618,CONDOS,3,2,1,1900,624900,625000,23
8153686146,"3323 N Pioneer Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,4,2,1,2155,519900,510000,84
8823846407,"6612 W 64th Pl Unit 3W, Chicago, IL, 60638",60638,CONDOS,2,1,1,1097,207900,215000,51
7112167068,"1850 N Maud Ave, Chicago, IL, 60614",60614,SINGLE_FAMILY,3,2,1,3000,1495000,1495000,36
7223489029,"3755 N Page Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,2,1,1,844,279900,320000,77
7707958877,"2940 N Nagle Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,3,2,1,1190,419000,425000,62
